"";"subj.id";"age_s_c";"gender";"educ_s_c";"prior.climate.pos";"prior.climate.cert";"prior.climate.imp";"prior.climate.diff";"prior.climate.act";"prior.gmo.pos";"prior.gmo.cert";"prior.gmo.imp";"prior.gmo.diff";"prior.hom.pos";"prior.hom.cert";"prior.hom.imp";"prior.hom.diff";"condition";"topic";"version";"diff";"eff";"frustr";"order";"percc";"resp";"rt";"ideology";"num_c";"crt_c";"Duration__in_seconds";"prior.conc";"ideology.conc";"condition.binary";"eff.index"
"44";20;-0,307063365886896;1;0,380952380952378;50;36;-50;0;31;21;18;-31;1;12;-32;-50;50;"easy";"gmo";"s";-50;-29;50;1;0;0;17,833;5,33333333333333;0,572051042639278;0,7296918767507;1541;"conc";"disc";"0";-39,5
"45";20;-0,307063365886896;1;0,380952380952378;50;36;-50;0;31;21;18;-31;1;12;-32;-50;50;"easy";"hom";"s";-34;-31;50;3;45;1;34,047;5,33333333333333;0,572051042639278;0,7296918767507;1541;"conc";"neutr";"0";-32,5
"46";22;-0,253009311832842;0;0,380952380952378;25;-26;-23;10;33;-34;24;26;26;26;18;-24;19;"hard";"clim";"ns";-32;-30;-17;3;31;0;15,779;3;-0,0946156240273884;-0,2703081232493;2719;"disc";"disc";"1";-31
"47";22;-0,253009311832842;0;0,380952380952378;25;-26;-23;10;33;-34;24;26;26;26;18;-24;19;"hard";"gmo";"ns";-20;-20;-30;2;-33;0;36,091;3;-0,0946156240273884;-0,2703081232493;2719;"disc";"disc";"1";-20
"48";22;-0,253009311832842;0;0,380952380952378;25;-26;-23;10;33;-34;24;26;26;26;18;-24;19;"hard";"hom";"ns";-19;-20;-37;1;31;0;16,534;3;-0,0946156240273884;-0,2703081232493;2719;"disc";"neutr";"1";-19,5
"49";24;-0,104360663184193;0;0,380952380952378;-12;3;25;16;-18;-35;33;27;-25;-50;26;-50;-35;"hard";"clim";"ns";33;44;33;3;-28;1;21,301;6;0,238717709305945;0,396358543417367;2426;"conc";"conc";"1";38,5
"50";24;-0,104360663184193;0;0,380952380952378;-12;3;25;16;-18;-35;33;27;-25;-50;26;-50;-35;"hard";"gmo";"ns";36;37;50;2;-31;0;61,732;6;0,238717709305945;0,396358543417367;2426;"conc";"conc";"1";36,5
"51";24;-0,104360663184193;0;0,380952380952378;-12;3;25;16;-18;-35;33;27;-25;-50;26;-50;-35;"hard";"hom";"s";50;35;50;1;-31;1;39,035;6;0,238717709305945;0,396358543417367;2426;"disc";"neutr";"1";42,5
"52";27;-0,280036338859869;0;0,380952380952378;48;42;50;0;50;-34;47;34;-15;0;0;-15;16;"easy";"clim";"s";43;44;14;3;6;1;57,013;3;0,0164954870837227;-0,2703081232493;3588;"conc";"conc";"0";43,5
"53";27;-0,280036338859869;0;0,380952380952378;48;42;50;0;50;-34;47;34;-15;0;0;-15;16;"easy";"gmo";"s";36;28;9;2;11;1;43,707;3;0,0164954870837227;-0,2703081232493;3588;"conc";"conc";"0";32
"54";27;-0,280036338859869;0;0,380952380952378;48;42;50;0;50;-34;47;34;-15;0;0;-15;16;"easy";"hom";"s";38;46;5;1;23;0;353,814;3;0,0164954870837227;-0,2703081232493;3588;"conc";"neutr";"0";42
"55";30;0,165909607086077;0;0,380952380952378;29;32;41;-11;35;-21;27;25;-7;32;28;28;22;"hard";"clim";"ns";28;23;21;2;33;0;28,031;4,33333333333333;-0,2057267351385;-0,2703081232493;1615;"disc";"conc";"1";25,5
"56";30;0,165909607086077;0;0,380952380952378;29;32;41;-11;35;-21;27;25;-7;32;28;28;22;"hard";"gmo";"ns";44;18;18;1;33;0;42,191;4,33333333333333;-0,2057267351385;-0,2703081232493;1615;"disc";"conc";"1";31
"57";30;0,165909607086077;0;0,380952380952378;29;32;41;-11;35;-21;27;25;-7;32;28;28;22;"hard";"hom";"ns";28;28;27;3;23;1;25,701;4,33333333333333;-0,2057267351385;-0,2703081232493;1615;"disc";"neutr";"1";28
"58";31;-0,0232795821031119;1;0,0476190476190447;29;30;22;30;31;2;23;2;25;22;31;22;21;"easy";"clim";"s";11;12;14;1;49;1;124,016;2,66666666666667;0,349828820417056;0,7296918767507;3526;"conc";"conc";"0";11,5
"59";31;-0,0232795821031119;1;0,0476190476190447;29;30;22;30;31;2;23;2;25;22;31;22;21;"easy";"gmo";"s";10;7;15;3;50;1;16,238;2,66666666666667;0,349828820417056;0,7296918767507;3526;"conc";"conc";"0";8,5
"60";31;-0,0232795821031119;1;0,0476190476190447;29;30;22;30;31;2;23;2;25;22;31;22;21;"easy";"hom";"s";16;10;11;2;50;1;72,086;2,66666666666667;0,349828820417056;0,7296918767507;3526;"conc";"neutr";"0";13
"61";34;-0,280036338859869;1;0,380952380952378;30;44;19;26;23;-20;22;10;-9;21;20;11;-12;"easy";"clim";"s";36;42;-42;1;37;0;21,684;4,66666666666667;0,349828820417056;0,7296918767507;1440;"conc";"disc";"0";39
"62";34;-0,280036338859869;1;0,380952380952378;30;44;19;26;23;-20;22;10;-9;21;20;11;-12;"easy";"gmo";"s";37;29;-43;3;39;1;15,71;4,66666666666667;0,349828820417056;0,7296918767507;1440;"conc";"disc";"0";33
"63";34;-0,280036338859869;1;0,380952380952378;30;44;19;26;23;-20;22;10;-9;21;20;11;-12;"easy";"hom";"ns";26;28;-48;2;38;1;16,364;4,66666666666667;0,349828820417056;0,7296918767507;1440;"disc";"neutr";"0";27
"64";35;-0,225982284805815;0;0,0476190476190447;26;40;19;-20;10;-10;17;10;4;10;-1;7;3;"easy";"clim";"s";7;50;4;2;7;0;16,247;5;-0,2057267351385;-0,2703081232493;1859;"conc";"disc";"0";28,5
"65";35;-0,225982284805815;0;0,0476190476190447;26;40;19;-20;10;-10;17;10;4;10;-1;7;3;"easy";"gmo";"s";24;50;12;1;-3;1;26,631;5;-0,2057267351385;-0,2703081232493;1859;"conc";"disc";"0";37
"66";35;-0,225982284805815;0;0,0476190476190447;26;40;19;-20;10;-10;17;10;4;10;-1;7;3;"easy";"hom";"ns";23;18;11;3;10;0;18,661;5;-0,2057267351385;-0,2703081232493;1859;"disc";"neutr";"0";20,5
"67";36;0,111855553032023;1;0,380952380952378;-10;11;-9;-30;-50;-50;41;-10;-30;-10;11;-31;-31;"easy";"clim";"ns";-30;-21;-50;1;50;1;90,027;6,33333333333333;0,127606598194834;0,0630252100840336;1498;"conc";"conc";"0";-25,5
"68";36;0,111855553032023;1;0,380952380952378;-10;11;-9;-30;-50;-50;41;-10;-30;-10;11;-31;-31;"easy";"gmo";"ns";-30;-10;-50;3;50;1;56,864;6,33333333333333;0,127606598194834;0,0630252100840336;1498;"conc";"conc";"0";-20
"69";36;0,111855553032023;1;0,380952380952378;-10;11;-9;-30;-50;-50;41;-10;-30;-10;11;-31;-31;"easy";"hom";"s";-31;-10;-50;2;50;1;21,902;6,33333333333333;0,127606598194834;0,0630252100840336;1498;"disc";"neutr";"0";-20,5
"70";38;-0,239495798319328;1;0,380952380952378;33;36;22;36;20;-12;23;21;23;24;-8;2;24;"hard";"clim";"ns";13;10;-6;2;17;0;16,019;3,33333333333333;0,0164954870837227;-0,2703081232493;773;"disc";"disc";"1";11,5
"71";38;-0,239495798319328;1;0,380952380952378;33;36;22;36;20;-12;23;21;23;24;-8;2;24;"hard";"gmo";"ns";-7;24;-11;1;-10;0;26,401;3,33333333333333;0,0164954870837227;-0,2703081232493;773;"disc";"disc";"1";8,5
"72";38;-0,239495798319328;1;0,380952380952378;33;36;22;36;20;-12;23;21;23;24;-8;2;24;"hard";"hom";"s";-14;-12;-17;3;34;1;16,201;3,33333333333333;0,0164954870837227;-0,2703081232493;773;"conc";"neutr";"1";-13
"73";41;-0,0638201226436525;1;0,380952380952378;30;34;31;-50;-33;-50;-50;50;-50;30;23;21;50;"easy";"clim";"s";15;16;18;3;-15;1;16,2;7;0,127606598194834;0,0630252100840336;1415;"conc";"disc";"0";15,5
"74";41;-0,0638201226436525;1;0,380952380952378;30;34;31;-50;-33;-50;-50;50;-50;30;23;21;50;"easy";"gmo";"ns";34;50;33;1;-31;0;16,065;7;0,127606598194834;0,0630252100840336;1415;"disc";"conc";"0";42
"75";41;-0,0638201226436525;1;0,380952380952378;30;34;31;-50;-33;-50;-50;50;-50;30;23;21;50;"easy";"hom";"s";30;30;29;2;-29;0;16,384;7;0,127606598194834;0,0630252100840336;1415;"conc";"neutr";"0";30
"76";43;-0,13138769021122;1;0,380952380952378;18;18;18;9;10;1;31;43;13;-49;49;-42;-47;"hard";"clim";"ns";-50;-50;-50;1;50;0;96,283;3,33333333333333;0,349828820417056;0,396358543417367;2124;"disc";"disc";"1";-50
"77";43;-0,13138769021122;1;0,380952380952378;18;18;18;9;10;1;31;43;13;-49;49;-42;-47;"hard";"gmo";"s";-50;-50;-50;2;50;1;94,965;3,33333333333333;0,349828820417056;0,396358543417367;2124;"conc";"conc";"1";-50
"78";43;-0,13138769021122;1;0,380952380952378;18;18;18;9;10;1;31;43;13;-49;49;-42;-47;"hard";"hom";"ns";-50;-50;-50;3;50;1;60,219;3,33333333333333;0,349828820417056;0,396358543417367;2124;"disc";"neutr";"1";-50
"79";46;-0,293549852373382;1;0,380952380952378;28;22;-11;-50;-8;31;50;-10;-50;-50;50;-50;-50;"easy";"clim";"ns";-9;0;20;2;14;1;16,178;4,33333333333333;0,349828820417056;0,396358543417367;1037;"disc";"conc";"0";-4,5
"80";46;-0,293549852373382;1;0,380952380952378;28;22;-11;-50;-8;31;50;-10;-50;-50;50;-50;-50;"easy";"gmo";"s";-21;-20;-7;1;31;1;18,468;4,33333333333333;0,349828820417056;0,396358543417367;1037;"conc";"disc";"0";-20,5
"81";46;-0,293549852373382;1;0,380952380952378;28;22;-11;-50;-8;31;50;-10;-50;-50;50;-50;-50;"easy";"hom";"s";12;-13;11;3;11;1;19,445;4,33333333333333;0,349828820417056;0,396358543417367;1037;"conc";"neutr";"0";-0,5
"82";50;-0,266522825346355;0;0,380952380952378;-4;3;-29;43;50;18;8;-13;50;-15;5;-6;47;"hard";"clim";"ns";42;37;40;3;-19;0;16,029;3,66666666666667;0,127606598194834;-0,2703081232493;834;"conc";"disc";"1";39,5
"83";50;-0,266522825346355;0;0,380952380952378;-4;3;-29;43;50;18;8;-13;50;-15;5;-6;47;"hard";"gmo";"ns";36;38;43;2;-12;1;15,925;3,66666666666667;0,127606598194834;-0,2703081232493;834;"conc";"disc";"1";37
"84";50;-0,266522825346355;0;0,380952380952378;-4;3;-29;43;50;18;8;-13;50;-15;5;-6;47;"hard";"hom";"s";50;50;50;1;-21;1;27,548;3,66666666666667;0,127606598194834;-0,2703081232493;834;"disc";"neutr";"1";50
"85";53;-0,104360663184193;0;0,380952380952378;50;50;50;-50;50;-44;39;22;26;-17;24;-12;3;"easy";"clim";"ns";13;24;-10;1;23;0;92,052;5;-0,0946156240273884;-0,2703081232493;3572;"disc";"conc";"0";18,5
"86";53;-0,104360663184193;0;0,380952380952378;50;50;50;-50;50;-44;39;22;26;-17;24;-12;3;"easy";"gmo";"s";17;21;1;3;17;1;66,968;5;-0,0946156240273884;-0,2703081232493;3572;"conc";"disc";"0";19
"87";53;-0,104360663184193;0;0,380952380952378;50;50;50;-50;50;-44;39;22;26;-17;24;-12;3;"easy";"hom";"s";22;22;4;2;3;1;165,314;5;-0,0946156240273884;-0,2703081232493;3572;"conc";"neutr";"0";22
"88";57;-0,0367930956166255;0;0,0476190476190447;27;21;23;-10;17;-10;26;22;-43;-15;20;6;-16;"easy";"clim";"ns";16;8;17;1;-23;1;66,498;6;-0,2057267351385;-0,2703081232493;1597;"disc";"conc";"0";12
