"";"subj.id";"age_s_c";"gender";"educ_s_c";"prior.climate.pos";"prior.climate.cert";"prior.climate.imp";"prior.climate.diff";"prior.climate.act";"prior.gmo.pos";"prior.gmo.cert";"prior.gmo.imp";"prior.gmo.diff";"prior.hom.pos";"prior.hom.cert";"prior.hom.imp";"prior.hom.diff";"condition";"topic";"version";"diff";"eff";"frustr";"order";"percc";"resp";"rt";"ideology";"num_c";"crt_c";"Duration__in_seconds_";"prior.conc";"ideology.conc";"condition.binary";"eff.index"
"21";9;-0,233818241255312;1;-0,208176691729323;48;50;50;-50;45;-27;34;33;-18;46;36;50;-15;"hard";"hom";"ns";-26;34;25;1;18;0;29,074;7;-0,255298572518253;-0,226544622425629;559;"disc";"neutr";"1";4
"22";12;0,0995150920780217;1;-0,208176691729323;20;15;2;-5;8;43;39;2;10;3;14;-7;-4;"easy";"clim";"s";11;-8;1;1;-14;0;115,102;4,33333333333333;-0,0648223820420625;-0,226544622425629;1232;"conc";"disc";"0";1,5
"23";12;0,0995150920780217;1;-0,208176691729323;20;15;2;-5;8;43;39;2;10;3;14;-7;-4;"easy";"gmo";"s";2;7;1;2;9;1;79,564;4,33333333333333;-0,0648223820420625;-0,226544622425629;1232;"conc";"disc";"0";4,5
"24";12;0,0995150920780217;1;-0,208176691729323;20;15;2;-5;8;43;39;2;10;3;14;-7;-4;"easy";"hom";"s";36;20;13;3;-19;0;80,701;4,33333333333333;-0,0648223820420625;-0,226544622425629;1232;"conc";"neutr";"0";28
"25";14;0,244442628309906;0;-0,208176691729323;20;24;27;25;16;12;18;17;15;29;30;30;27;"hard";"clim";"s";-24;-26;-21;2;50;1;21,836;4,66666666666667;-0,0648223820420625;-0,226544622425629;971;"conc";"disc";"1";-25
"26";14;0,244442628309906;0;-0,208176691729323;20;24;27;25;16;12;18;17;15;29;30;30;27;"hard";"gmo";"s";-23;-12;-24;3;50;1;56,187;4,66666666666667;-0,0648223820420625;-0,226544622425629;971;"conc";"disc";"1";-17,5
"27";14;0,244442628309906;0;-0,208176691729323;20;24;27;25;16;12;18;17;15;29;30;30;27;"hard";"hom";"s";-12;16;-19;1;47;0;147,991;4,66666666666667;-0,0648223820420625;-0,226544622425629;971;"conc";"neutr";"1";2
"28";15;0,070529584831645;0;-0,208176691729323;-34;45;2;-28;-50;4;-10;-8;11;50;50;43;-47;"easy";"clim";"s";12;12;8;3;14;0;114,329;4,66666666666667;0,15739984018016;0,106788710907704;1052;"disc";"disc";"0";12
"29";15;0,070529584831645;0;-0,208176691729323;-34;45;2;-28;-50;4;-10;-8;11;50;50;43;-47;"easy";"gmo";"s";50;50;50;1;-50;0;189,564;4,66666666666667;0,15739984018016;0,106788710907704;1052;"disc";"disc";"0";50
"30";15;0,070529584831645;0;-0,208176691729323;-34;45;2;-28;-50;4;-10;-8;11;50;50;43;-47;"easy";"hom";"s";50;50;50;2;-50;0;60,701;4,66666666666667;0,15739984018016;0,106788710907704;1052;"disc";"neutr";"0";50
"31";16;-0,378745777487196;0;0,0418233082706767;27;34;18;25;22;27;34;27;13;20;12;27;24;"hard";"clim";"s";21;20;-19;1;-48;1;61,373;4;-0,175933493153174;-0,226544622425629;441;"conc";"neutr";"1";20,5
"32";16;-0,378745777487196;0;0,0418233082706767;27;34;18;25;22;27;34;27;13;20;12;27;24;"hard";"gmo";"s";15;14;-50;2;-48;0;29,633;4;-0,175933493153174;-0,226544622425629;441;"conc";"neutr";"1";14,5
"33";16;-0,378745777487196;0;0,0418233082706767;27;34;18;25;22;27;34;27;13;20;12;27;24;"hard";"hom";"s";14;33;-49;3;-47;1;31,802;4;-0,175933493153174;-0,226544622425629;441;"conc";"neutr";"1";23,5
"34";17;0,287920889179471;0;-0,458176691729323;20;3;17;2;28;-16;-12;-13;-11;-9;-15;2;18;"hard";"clim";"s";26;19;26;2;2;0;65,901;5;0,15739984018016;0,106788710907704;1005;"conc";"disc";"1";22,5
"35";17;0,287920889179471;0;-0,458176691729323;20;3;17;2;28;-16;-12;-13;-11;-9;-15;2;18;"hard";"gmo";"ns";-6;3;0;3;21;1;40,601;5;0,15739984018016;0,106788710907704;1005;"disc";"conc";"1";-1,5
"36";17;0,287920889179471;0;-0,458176691729323;20;3;17;2;28;-16;-12;-13;-11;-9;-15;2;18;"hard";"hom";"s";24;18;-5;1;2;1;138,344;5;0,15739984018016;0,106788710907704;1005;"conc";"neutr";"1";21
"37";18;-0,00193418328429712;1;-0,458176691729323;-20;1;-44;21;1;23;20;-29;13;36;19;12;24;"easy";"clim";"s";27;-16;10;3;-22;1;15,97;5;-0,287044604264285;-0,226544622425629;493;"disc";"disc";"0";5,5
"38";18;-0,00193418328429712;1;-0,458176691729323;-20;1;-44;21;1;23;20;-29;13;36;19;12;24;"easy";"gmo";"ns";20;1;1;2;-10;0;24,334;5;-0,287044604264285;-0,226544622425629;493;"conc";"conc";"0";10,5
"39";18;-0,00193418328429712;1;-0,458176691729323;-20;1;-44;21;1;23;20;-29;13;36;19;12;24;"easy";"hom";"s";1;11;-10;1;1;0;39,147;5;-0,287044604264285;-0,226544622425629;493;"disc";"neutr";"0";6
"40";19;-0,175847226762558;1;-0,458176691729323;15;33;18;15;9;-50;50;19;22;18;13;11;16;"hard";"clim";"ns";12;20;23;3;24;0;16,501;7;-0,175933493153174;0,106788710907704;1069;"disc";"conc";"1";16
"41";19;-0,175847226762558;1;-0,458176691729323;15;33;18;15;9;-50;50;19;22;18;13;11;16;"hard";"gmo";"ns";28;14;19;1;21;1;76,337;7;-0,175933493153174;0,106788710907704;1069;"disc";"conc";"1";21
"42";19;-0,175847226762558;1;-0,458176691729323;15;33;18;15;9;-50;50;19;22;18;13;11;16;"hard";"hom";"s";20;10;19;2;17;1;84,695;7;-0,175933493153174;0,106788710907704;1069;"conc";"neutr";"1";15
"43";20;-0,33526751661763;1;-0,208176691729323;42;27;9;35;9;-9;30;-11;16;16;-13;-42;38;"hard";"clim";"ns";15;36;11;1;-14;0;145,302;6,66666666666667;0,490733173513493;0,773455377574371;1492;"disc";"conc";"1";25,5
"44";20;-0,33526751661763;1;-0,208176691729323;42;27;9;35;9;-9;30;-11;16;16;-13;-42;38;"hard";"gmo";"ns";-26;-15;24;3;50;1;112,301;6,66666666666667;0,490733173513493;0,773455377574371;1492;"disc";"conc";"1";-20,5
"45";20;-0,33526751661763;1;-0,208176691729323;42;27;9;35;9;-9;30;-11;16;16;-13;-42;38;"hard";"hom";"ns";-18;-12;-42;2;14;1;125,922;6,66666666666667;0,490733173513493;0,773455377574371;1492;"disc";"neutr";"1";-15
"46";21;-0,0743979514002391;1;-0,208176691729323;24;36;49;32;37;-9;15;23;12;29;32;32;33;"easy";"clim";"ns";13;13;11;2;13;0;51,6;5;-0,287044604264285;-0,226544622425629;999;"disc";"conc";"0";13
"47";21;-0,0743979514002391;1;-0,208176691729323;24;36;49;32;37;-9;15;23;12;29;32;32;33;"easy";"gmo";"ns";11;12;12;1;11;1;115,1;5;-0,287044604264285;-0,226544622425629;999;"disc";"conc";"0";11,5
"48";21;-0,0743979514002391;1;-0,208176691729323;24;36;49;32;37;-9;15;23;12;29;32;32;33;"easy";"hom";"ns";19;19;18;3;18;1;37,683;5;-0,287044604264285;-0,226544622425629;999;"disc";"neutr";"0";19
"49";22;-0,103383458646616;0;-0,208176691729323;50;50;50;23;50;-50;50;50;3;50;50;50;34;"easy";"clim";"ns";28;25;-49;1;50;0;129,599;3;-0,273155715375396;-0,226544622425629;1286;"disc";"disc";"0";26,5
"50";22;-0,103383458646616;0;-0,208176691729323;50;50;50;23;50;-50;50;50;3;50;50;50;34;"easy";"gmo";"ns";26;25;-50;2;50;0;81,401;3;-0,273155715375396;-0,226544622425629;1286;"disc";"disc";"0";25,5
"51";22;-0,103383458646616;0;-0,208176691729323;50;50;50;23;50;-50;50;50;3;50;50;50;34;"easy";"hom";"s";4;21;-50;3;50;0;61,993;3;-0,273155715375396;-0,226544622425629;1286;"conc";"neutr";"0";12,5
"52";23;0,244442628309906;0;0,0418233082706767;26;30;2;22;33;26;33;15;-13;23;15;-40;39;"easy";"clim";"ns";26;33;-4;2;12;0;124,408;3,66666666666667;0,268510951291271;0,440122044241037;1443;"disc";"disc";"0";29,5
"53";23;0,244442628309906;0;0,0418233082706767;26;30;2;22;33;26;33;15;-13;23;15;-40;39;"easy";"gmo";"ns";15;2;-21;3;12;0;82,579;3,66666666666667;0,268510951291271;0,440122044241037;1443;"disc";"disc";"0";8,5
"54";23;0,244442628309906;0;0,0418233082706767;26;30;2;22;33;26;33;15;-13;23;15;-40;39;"easy";"hom";"ns";2;13;-15;1;14;0;153,137;3,66666666666667;0,268510951291271;0,440122044241037;1443;"disc";"neutr";"0";7,5
"55";24;-0,0888907050234276;1;0,291823308270677;23;12;13;11;22;11;19;9;13;31;15;11;18;"easy";"clim";"ns";-17;-17;-23;2;20;0;12,608;3,66666666666667;0,0462887290690486;-0,226544622425629;532;"disc";"disc";"0";-17
"56";24;-0,0888907050234276;1;0,291823308270677;23;12;13;11;22;11;19;9;13;31;15;11;18;"easy";"gmo";"s";-13;-16;-11;3;18;1;19,941;3,66666666666667;0,0462887290690486;-0,226544622425629;532;"conc";"conc";"0";-14,5
"57";24;-0,0888907050234276;1;0,291823308270677;23;12;13;11;22;11;19;9;13;31;15;11;18;"easy";"hom";"s";8;5;-25;1;-10;1;16,017;3,66666666666667;0,0462887290690486;-0,226544622425629;532;"conc";"neutr";"0";6,5
"58";25;-0,103383458646616;0;-0,208176691729323;-50;50;24;-50;28;30;50;21;-50;50;50;50;-50;"hard";"clim";"s";25;48;-11;2;45;1;103,497;6;-0,175933493153174;-0,226544622425629;1272;"disc";"disc";"1";36,5
"59";25;-0,103383458646616;0;-0,208176691729323;-50;50;24;-50;28;30;50;21;-50;50;50;50;-50;"hard";"gmo";"s";-48;26;-50;1;50;0;337,163;6;-0,175933493153174;-0,226544622425629;1272;"disc";"disc";"1";-11
"60";25;-0,103383458646616;0;-0,208176691729323;-50;50;24;-50;28;30;50;21;-50;50;50;50;-50;"hard";"hom";"s";20;28;13;3;50;0;73,701;6;-0,175933493153174;-0,226544622425629;1272;"disc";"neutr";"1";24
"61";26;0,215457121063529;0;0,0418233082706767;3;50;3;46;3;3;50;-50;-50;30;27;3;32;"easy";"clim";"s";3;3;3;3;4;0;126,201;6;0,268510951291271;0,106788710907704;1055;"conc";"disc";"0";3
"62";26;0,215457121063529;0;0,0418233082706767;3;50;3;46;3;3;50;-50;-50;30;27;3;32;"easy";"gmo";"ns";3;3;3;2;50;0;104,815;6;0,268510951291271;0,106788710907704;1055;"disc";"conc";"0";3
"63";26;0,215457121063529;0;0,0418233082706767;3;50;3;46;3;3;50;-50;-50;30;27;3;32;"easy";"hom";"ns";3;3;3;1;50;0;67,513;6;0,268510951291271;0,106788710907704;1055;"disc";"neutr";"0";3
"64";27;-0,0164269369074855;1;-0,208176691729323;40;50;25;-43;50;-20;-16;23;-29;21;39;1;-10;"hard";"clim";"ns";33;22;20;3;-9;1;22,68;4,33333333333333;-0,0648223820420625;-0,226544622425629;1084;"disc";"conc";"1";27,5
"65";27;-0,0164269369074855;1;-0,208176691729323;40;50;25;-43;50;-20;-16;23;-29;21;39;1;-10;"hard";"gmo";"s";40;31;13;1;-18;0;84,982;4,33333333333333;-0,0648223820420625;-0,226544622425629;1084;"conc";"disc";"1";35,5
"66";27;-0,0164269369074855;1;-0,208176691729323;40;50;25;-43;50;-20;-16;23;-29;21;39;1;-10;"hard";"hom";"ns";45;26;21;2;-2;1;92,77;4,33333333333333;-0,0648223820420625;-0,226544622425629;1084;"disc";"neutr";"1";35,5
"67";28;0,128500599324399;0;-0,208176691729323;37;43;33;-47;40;14;14;22;-18;42;42;30;-44;"hard";"clim";"ns";-26;9;-34;1;-36;0;140,901;6;-0,287044604264285;-0,226544622425629;1072;"disc";"conc";"1";-8,5
"68";28;0,128500599324399;0;-0,208176691729323;37;43;33;-47;40;14;14;22;-18;42;42;30;-44;"hard";"gmo";"ns";-22;21;-36;3;18;0;59,708;6;-0,287044604264285;-0,226544622425629;1072;"disc";"conc";"1";-0,5
"69";28;0,128500599324399;0;-0,208176691729323;37;43;33;-47;40;14;14;22;-18;42;42;30;-44;"hard";"hom";"s";-32;-23;-30;2;16;0;79,201;6;-0,287044604264285;-0,226544622425629;1072;"conc";"neutr";"1";-27,5
"70";30;0,0560368312084565;1;-0,208176691729323;25;44;44;-50;50;13;43;20;-44;50;50;50;-50;"hard";"clim";"s";-50;42;39;3;47;1;20,359;5;-0,0648223820420625;-0,226544622425629;758;"conc";"disc";"1";-4
"71";30;0,0560368312084565;1;-0,208176691729323;25;44;44;-50;50;13;43;20;-44;50;50;50;-50;"hard";"gmo";"s";45;45;48;2;42;1;33,493;5;-0,0648223820420625;-0,226544622425629;758;"conc";"disc";"1";45
"72";30;0,0560368312084565;1;-0,208176691729323;25;44;44;-50;50;13;43;20;-44;50;50;50;-50;"hard";"hom";"ns";-40;-42;-46;1;38;1;42,934;5;-0,0648223820420625;-0,226544622425629;758;"disc";"neutr";"1";-41
"73";31;0,142993352947587;1;0,291823308270677;41;40;18;37;36;22;30;-30;30;11;22;-50;31;"easy";"clim";"ns";25;30;-13;3;22;1;106,073;2,66666666666667;0,379622062402382;0,773455377574371;961;"disc";"disc";"0";27,5
"74";31;0,142993352947587;1;0,291823308270677;41;40;18;37;36;22;30;-30;30;11;22;-50;31;"easy";"gmo";"ns";29;30;-16;2;20;1;111,603;2,66666666666667;0,379622062402382;0,773455377574371;961;"disc";"disc";"0";29,5
"75";31;0,142993352947587;1;0,291823308270677;41;40;18;37;36;22;30;-30;30;11;22;-50;31;"easy";"hom";"ns";30;21;-21;1;21;1;60,097;2,66666666666667;0,379622062402382;0,773455377574371;961;"disc";"neutr";"0";25,5
"76";32;-0,2483109948785;0;-0,458176691729323;23;37;34;-10;50;-40;45;43;-38;36;40;30;-10;"hard";"clim";"s";16;33;-40;1;18;1;92,902;4;-0,175933493153174;-0,226544622425629;983;"conc";"neutr";"1";24,5
"77";32;-0,2483109948785;0;-0,458176691729323;23;37;34;-10;50;-40;45;43;-38;36;40;30;-10;"hard";"gmo";"ns";-21;-8;-46;3;33;1;55,501;4;-0,175933493153174;-0,226544622425629;983;"disc";"neutr";"1";-14,5
"78";32;-0,2483109948785;0;-0,458176691729323;23;37;34;-10;50;-40;45;43;-38;36;40;30;-10;"hard";"hom";"ns";-8;13;-47;2;28;1;57,279;4;-0,175933493153174;-0,226544622425629;983;"disc";"neutr";"1";2,5
"79";33;0,316906396425848;0;0,291823308270677;50;50;50;-45;50;12;50;50;-50;50;50;50;-50;"easy";"clim";"ns";-47;-46;-44;3;50;0;16,401;5;-0,287044604264285;-0,226544622425629;749;"disc";"conc";"0";-46,5
"80";33;0,316906396425848;0;0,291823308270677;50;50;50;-45;50;12;50;50;-50;50;50;50;-50;"easy";"gmo";"ns";-47;-48;-46;1;49;0;69,742;5;-0,287044604264285;-0,226544622425629;749;"disc";"conc";"0";-47,5
"81";33;0,316906396425848;0;0,291823308270677;50;50;50;-45;50;12;50;50;-50;50;50;50;-50;"easy";"hom";"s";-46;-48;-48;2;49;0;23,604;5;-0,287044604264285;-0,226544622425629;749;"conc";"neutr";"0";-47
"82";36;0,374877410918601;0;0,291823308270677;50;50;50;50;50;-50;50;31;32;50;50;42;42;"easy";"clim";"s";-50;-50;-50;3;50;0;73,496;3;-0,0648223820420625;-0,226544622425629;1906;"conc";"conc";"0";-50
"83";36;0,374877410918601;0;0,291823308270677;50;50;50;50;50;-50;50;31;32;50;50;42;42;"easy";"gmo";"s";-50;-30;42;1;50;1;154,443;3;-0,0648223820420625;-0,226544622425629;1906;"conc";"conc";"0";-40
"84";36;0,374877410918601;0;0,291823308270677;50;50;50;50;50;-50;50;31;32;50;50;42;42;"easy";"hom";"ns";-50;-50;-50;2;50;0;118,593;3;-0,0648223820420625;-0,226544622425629;1906;"disc";"neutr";"0";-50
"85";37;-0,132368965892993;1;0,291823308270677;19;41;42;-50;15;16;25;10;-50;16;41;-20;-40;"hard";"clim";"s";11;5;-41;3;42;0;66,509;2,66666666666667;0,0462887290690486;-0,226544622425629;1678;"conc";"conc";"1";8
"86";37;-0,132368965892993;1;0,291823308270677;19;41;42;-50;15;16;25;10;-50;16;41;-20;-40;"hard";"gmo";"s";-9;10;-50;1;35;1;85,999;2,66666666666667;0,0462887290690486;-0,226544622425629;1678;"conc";"conc";"1";0,5
"87";37;-0,132368965892993;1;0,291823308270677;19;41;42;-50;15;16;25;10;-50;16;41;-20;-40;"hard";"hom";"s";10;22;-40;2;27;1;98,626;2,66666666666667;0,0462887290690486;-0,226544622425629;1678;"conc";"neutr";"1";16
"88";39;-0,0743979514002391;0;-0,208176691729323;11;1;22;31;-50;22;12;21;35;25;21;-48;13;"hard";"clim";"ns";-21;-31;-18;1;-18;0;70,951;4;-0,398155715375396;-0,226544622425629;1281;"disc";"neutr";"1";-26
"89";39;-0,0743979514002391;0;-0,208176691729323;11;1;22;31;-50;22;12;21;35;25;21;-48;13;"hard";"gmo";"ns";-10;-22;-17;3;-5;1;100,148;4;-0,398155715375396;-0,226544622425629;1281;"disc";"neutr";"1";-16
"90";39;-0,0743979514002391;0;-0,208176691729323;11;1;22;31;-50;22;12;21;35;25;21;-48;13;"hard";"hom";"ns";-20;-6;24;2;-9;1;53,8;4;-0,398155715375396;-0,226544622425629;1281;"disc";"neutr";"1";-13
"91";40;0,070529584831645;1;0,0418233082706767;50;50;50;-50;50;2;24;50;-50;30;33;50;-50;"easy";"clim";"ns";-50;-50;-50;2;50;0;73,192;2,66666666666667;-0,0648223820420625;-0,226544622425629;1029;"disc";"disc";"0";-50
"92";40;0,070529584831645;1;0,0418233082706767;50;50;50;-50;50;2;24;50;-50;30;33;50;-50;"easy";"gmo";"s";-50;-50;-50;3;45;1;47,916;2,66666666666667;-0,0648223820420625;-0,226544622425629;1029;"conc";"conc";"0";-50
"93";40;0,070529584831645;1;0,0418233082706767;50;50;50;-50;50;2;24;50;-50;30;33;50;-50;"easy";"hom";"ns";-50;-33;-50;1;50;0;98,469;2,66666666666667;-0,0648223820420625;-0,226544622425629;1029;"disc";"neutr";"0";-41,5
"94";42;0,229949874686717;0;0,291823308270677;50;50;20;11;50;26;-25;-36;42;-41;10;-50;-30;"hard";"clim";"ns";41;50;41;2;-50;1;207,732;2,66666666666667;0,379622062402382;0,440122044241037;1974;"disc";"disc";"1";45,5
"95";42;0,229949874686717;0;0,291823308270677;50;50;20;11;50;26;-25;-36;42;-41;10;-50;-30;"hard";"gmo";"s";-41;16;-15;1;41;1;136,338;2,66666666666667;0,379622062402382;0,440122044241037;1974;"conc";"conc";"1";-12,5
"96";42;0,229949874686717;0;0,291823308270677;50;50;20;11;50;26;-25;-36;42;-41;10;-50;-30;"hard";"hom";"s";36;42;25;3;-36;1;99,876;2,66666666666667;0,379622062402382;0,440122044241037;1974;"conc";"neutr";"1";39
"97";43;0,273428135556283;1;0,0418233082706767;33;43;41;-20;39;-42;46;21;-37;33;47;22;-38;"easy";"clim";"ns";-50;-43;-10;3;50;0;20,785;4,66666666666667;-0,287044604264285;-0,226544622425629;710;"disc";"conc";"0";-46,5
"98";43;0,273428135556283;1;0,0418233082706767;33;43;41;-20;39;-42;46;21;-37;33;47;22;-38;"easy";"gmo";"ns";-50;-50;30;2;50;0;24,757;4,66666666666667;-0,287044604264285;-0,226544622425629;710;"disc";"conc";"0";-50
"99";43;0,273428135556283;1;0,0418233082706767;33;43;41;-20;39;-42;46;21;-37;33;47;22;-38;"easy";"hom";"s";-50;-41;-8;1;42;0;49,744;4,66666666666667;-0,287044604264285;-0,226544622425629;710;"conc";"neutr";"0";-45,5
"100";44;0,070529584831645;1;0,291823308270677;29;21;22;10;31;11;-21;10;21;-19;12;-10;-11;"easy";"clim";"s";33;23;-50;1;24;1;106,012;3;0,268510951291271;0,440122044241037;1021;"conc";"conc";"0";28
"101";44;0,070529584831645;1;0,291823308270677;29;21;22;10;31;11;-21;10;21;-19;12;-10;-11;"easy";"gmo";"s";21;32;-50;2;32;1;68,898;3;0,268510951291271;0,440122044241037;1021;"conc";"conc";"0";26,5
"102";44;0,070529584831645;1;0,291823308270677;29;21;22;10;31;11;-21;10;21;-19;12;-10;-11;"easy";"hom";"ns";24;32;-50;3;21;1;75,548;3;0,268510951291271;0,440122044241037;1021;"disc";"neutr";"0";28
"103";45;0,287920889179471;0;-0,208176691729323;-14;29;20;30;30;-16;28;38;31;41;39;30;11;"easy";"clim";"ns";25;24;27;2;26;0;118,8;4,66666666666667;-0,398155715375396;-0,226544622425629;1122;"conc";"conc";"0";24,5
"104";45;0,287920889179471;0;-0,208176691729323;-14;29;20;30;30;-16;28;38;31;41;39;30;11;"easy";"gmo";"s";29;23;29;3;29;0;55,876;4,66666666666667;-0,398155715375396;-0,226544622425629;1122;"disc";"disc";"0";26
"105";45;0,287920889179471;0;-0,208176691729323;-14;29;20;30;30;-16;28;38;31;41;39;30;11;"easy";"hom";"ns";14;12;24;1;25;1;130,507;4,66666666666667;-0,398155715375396;-0,226544622425629;1122;"conc";"neutr";"0";13
"106";47;0,302413642802659;0;0,291823308270677;50;50;50;-50;50;50;50;1;-50;-50;50;1;-50;"easy";"clim";"ns";-50;-50;-50;2;50;0;436,638;2,33333333333333;0,379622062402382;0,773455377574371;2943;"disc";"disc";"0";-50
"107";47;0,302413642802659;0;0,291823308270677;50;50;50;-50;50;50;50;1;-50;-50;50;1;-50;"easy";"gmo";"s";-50;-50;-50;3;50;1;226,728;2,33333333333333;0,379622062402382;0,773455377574371;2943;"conc";"conc";"0";-50
"108";47;0,302413642802659;0;0,291823308270677;50;50;50;-50;50;50;50;1;-50;-50;50;1;-50;"easy";"hom";"ns";-50;-49;-50;1;50;1;422,494;2,33333333333333;0,379622062402382;0,773455377574371;2943;"disc";"neutr";"0";-49,5
"109";48;0,0560368312084565;1;-0,208176691729323;18;19;28;-37;41;1;7;-9;-16;29;29;21;-3;"hard";"clim";"s";-34;-15;-50;3;48;1;14,745;6,33333333333333;-0,175933493153174;-0,226544622425629;668;"conc";"disc";"1";-24,5
