"";"subj.id";"age_s_c";"gender";"educ_s_c";"prior.climate.pos";"prior.climate.cert";"prior.climate.imp";"prior.climate.diff";"prior.climate.act_1";"prior.gmo.pos";"prior.gmo.cert";"prior.gmo.imp";"prior.gmo.diff";"prior.hom.pos";"prior.hom.cert";"prior.hom.imp";"prior.hom.diff";"condition";"topic";"version";"diff";"eff";"frustr";"order";"percc";"resp";"rt";"ideology";"num_c";"prior.conc";"ideology.conc";"condition.binary"
"406";244;0,211303562310986;1;-0,291779584462511;43;42;43;-38;50;-50;50;27;-50;31;27;13;-50;"easy";"clim";"ns";-19;26;50;3;29;1;66,202;5;0,0412526347485692;"conc";"conc";"0"
"407";244;0,211303562310986;1;-0,291779584462511;43;42;43;-38;50;-50;50;27;-50;31;27;13;-50;"easy";"gmo";"ns";17;32;49;2;27;1;100,601;5;0,0412526347485692;"conc";"conc";"0"
"408";244;0,211303562310986;1;-0,291779584462511;43;42;43;-38;50;-50;50;27;-50;31;27;13;-50;"easy";"hom";"ns";-19;24;-19;1;33;0;37,801;5;0,0412526347485692;"conc";"neutr";"0"
"409";246;0,443187620282;1;0,374887082204156;50;50;46;-41;50;46;48;0;-38;-50;50;12;-39;"easy";"clim";"s";-48;-39;-47;2;46;1;114,469;1,66666666666667;0,263474856970791;"neutr";"conc";"0"
"410";246;0,443187620282;1;0,374887082204156;50;50;46;-41;50;46;48;0;-38;-50;50;12;-39;"easy";"gmo";"ns";-40;-27;-47;3;32;1;112,782;1,66666666666667;0,263474856970791;"neutr";"disc";"0"
"411";246;0,443187620282;1;0,374887082204156;50;50;46;-41;50;46;48;0;-38;-50;50;12;-39;"easy";"hom";"s";-48;-46;-49;1;50;1;78,162;1,66666666666667;0,263474856970791;"neutr";"neutr";"0"
"412";247;0,00840501158634788;0;-0,291779584462511;-23;26;-15;-11;-20;-25;49;36;-44;40;36;5;-43;"hard";"clim";"ns";-13;-8;13;2;5;1;100,701;6,33333333333333;0,0412526347485692;"conc";"conc";"1"
"413";247;0,00840501158634788;0;-0,291779584462511;-23;26;-15;-11;-20;-25;49;36;-44;40;36;5;-43;"hard";"gmo";"ns";-7;-10;10;1;24;1;94,757;6,33333333333333;0,0412526347485692;"conc";"conc";"1"
"414";247;0,00840501158634788;0;-0,291779584462511;-23;26;-15;-11;-20;-25;49;36;-44;40;36;5;-43;"hard";"hom";"s";6;10;20;3;-3;0;93,801;6,33333333333333;0,0412526347485692;"disc";"neutr";"1"
"415";249;-0,0495660029064057;1;-0,291779584462511;11;-9;11;22;11;1;-6;7;22;1;-26;-29;22;"hard";"clim";"s";30;30;20;3;-19;0;90,451;6,33333333333333;-0,0698584763625419;"disc";"disc";"1"
"416";249;-0,0495660029064057;1;-0,291779584462511;11;-9;11;22;11;1;-6;7;22;1;-26;-29;22;"hard";"gmo";"s";29;29;-8;1;-10;1;124,175;6,33333333333333;-0,0698584763625419;"disc";"disc";"1"
"417";249;-0,0495660029064057;1;-0,291779584462511;11;-9;11;22;11;1;-6;7;22;1;-26;-29;22;"hard";"hom";"s";32;20;-6;2;-19;1;78,229;6,33333333333333;-0,0698584763625419;"disc";"neutr";"1"
"418";250;-0,295942814500609;0;0,374887082204156;50;50;45;28;50;50;50;27;-20;-50;50;-49;-27;"hard";"clim";"s";33;38;28;2;-27;0;45,378;1,33333333333333;-0,0698584763625419;"neutr";"conc";"1"
"419";250;-0,295942814500609;0;0,374887082204156;50;50;45;28;50;50;50;27;-20;-50;50;-49;-27;"hard";"gmo";"ns";13;13;-28;1;34;0;27,95;1,33333333333333;-0,0698584763625419;"neutr";"disc";"1"
"420";250;-0,295942814500609;0;0,374887082204156;50;50;45;28;50;50;50;27;-20;-50;50;-49;-27;"hard";"hom";"s";11;-14;-25;3;29;1;12,802;1,33333333333333;-0,0698584763625419;"neutr";"neutr";"1"
"421";253;0,240289069557362;1;0,374887082204156;11;50;11;-50;-11;-50;50;21;-50;-40;50;-50;-50;"easy";"clim";"ns";-50;-50;-50;1;50;0;62,54;7;0,374585968081903;"conc";"conc";"0"
